"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-12 06:00:00",21.95,35.37,14.92,5.7
"2022-05-12 07:00:00",49.18,19.63,20.91,7.12
"2022-05-12 08:00:00",58.13,23.37,24.06,7.82
"2022-05-12 09:00:00",67.69,14.59,33.14,9.45
"2022-05-12 10:00:00",53.33,29.32,38.71,10.66
"2022-05-12 11:00:00",54.45,36.39,24.91,7.41
"2022-05-12 12:00:00",45.54,42.57,23.77,6.5
"2022-05-12 13:00:00",38.55,45.73,25.26,6.69
"2022-05-12 14:00:00",36.19,47.99,21.32,6.08
"2022-05-12 15:00:00",29.85,46.9,26.95,5.99
"2022-05-12 16:00:00",38.65,41.04,20.37,4.25
"2022-05-12 17:00:00",49.55,26.55,17.88,4.93
"2022-05-12 18:00:00",60.09,25.41,19.21,5.7
"2022-05-12 19:00:00",62.95,24.61,12.03,4.16
"2022-05-12 20:00:00",46.21,33.23,32.1,7.69
"2022-05-12 21:00:00",34.17,45.14,9.39,5.35
"2022-05-12 22:00:00",33.39,41.73,11.59,7.14
"2022-05-12 23:00:00",33.35,45.3,18.75,8.13
"2022-05-13 00:00:00",26.95,51.69,18.04,8.63
"2022-05-13 01:00:00",11.94,60.14,17.28,8.88
"2022-05-13 02:00:00",9.82,60.17,15.76,8.61
"2022-05-13 03:00:00",7.92,63.3,14.83,8.01
"2022-05-13 04:00:00",7.02,64.81,16.42,8.33
"2022-05-13 05:00:00",7.45,65.08,16.49,8.46
"2022-05-13 06:00:00",9.84,63.83,15.53,8.06
"2022-05-13 07:00:00",19.76,56.59,17.9,8.56
"2022-05-13 08:00:00",27.42,53.39,24.5,9.86
"2022-05-13 09:00:00",34.35,48.14,36.27,11.81
"2022-05-13 10:00:00",42.49,41.93,39.7,13.51
"2022-05-13 11:00:00",42.72,47.57,56.54,17.83
"2022-05-13 12:00:00",43.69,45.92,38.95,14.76
"2022-05-13 13:00:00",42.21,50.63,43.69,15.23
"2022-05-13 14:00:00",36.84,54.08,42.19,15.25
"2022-05-13 15:00:00",30.74,59.61,34.24,13.57
"2022-05-13 16:00:00",44.54,47.16,28.34,13.23
"2022-05-13 17:00:00",50.26,39.96,28.02,13.09
"2022-05-13 18:00:00",40.31,48.27,23.89,11.51
"2022-05-13 19:00:00",41.15,49.82,20.74,10.02
"2022-05-13 20:00:00",57.06,37.2,23.68,11.1
"2022-05-13 21:00:00",44.82,40.34,21.98,12.34
"2022-05-13 22:00:00",43.16,44.54,23.4,13.75
"2022-05-13 23:00:00",31.62,49.92,20.79,12.22
"2022-05-14 00:00:00",49.79,34.51,23.81,13.54
"2022-05-14 01:00:00",25.14,50.24,23.48,13.37
"2022-05-14 02:00:00",17.73,56.45,22.67,13.37
"2022-05-14 03:00:00",19.34,58.14,22.77,12.96
"2022-05-14 04:00:00",19.51,55.93,21.61,12.62
"2022-05-14 05:00:00",9.27,61.65,20.57,12.26
"2022-05-14 06:00:00",16.39,52.3,20.46,11.7
"2022-05-14 07:00:00",33.63,40.32,23.41,12.28
"2022-05-14 08:00:00",46.96,35.29,25.34,12.72
"2022-05-14 09:00:00",28.63,55.53,29.13,12.9
"2022-05-14 10:00:00",32.27,51.99,26.97,12.18
"2022-05-14 11:00:00",27.07,58.29,22.88,12.52
"2022-05-14 12:00:00",16.25,68.92,25.21,14.33
"2022-05-14 13:00:00",22.59,70.45,25.12,14.17
"2022-05-14 14:00:00",19.78,74.43,23.1,13.33
"2022-05-14 15:00:00",23.14,66.42,17.37,10.12
"2022-05-14 16:00:00",22.95,64.62,14.42,8.3
"2022-05-14 17:00:00",31.17,59.08,17.79,9.47
"2022-05-14 18:00:00",46.65,44.83,26.12,11.78
"2022-05-14 19:00:00",33.91,54.73,24.62,11.07
"2022-05-14 20:00:00",29.11,57.46,17.8,10.5
"2022-05-14 21:00:00",28.19,54.37,16.24,9.66
"2022-05-14 22:00:00",30.17,48.7,13.88,9.02
"2022-05-14 23:00:00",28.1,45.64,12.64,9.59
"2022-05-15 00:00:00",22.17,54.52,12.79,9.07
"2022-05-15 01:00:00",22.58,50.74,14.95,10.76
"2022-05-15 02:00:00",16.98,50.74,18.61,12.12
"2022-05-15 03:00:00",20.11,51.01,18.68,11.57
"2022-05-15 04:00:00",18.79,50.63,20.44,12.43
"2022-05-15 05:00:00",13.61,52.55,19.98,12.42
"2022-05-15 06:00:00",17.94,45.61,30.99,17.06
"2022-05-15 07:00:00",9.16,55.47,15.33,10.02
"2022-05-15 08:00:00",13.78,59.6,15.79,9.97
"2022-05-15 09:00:00",24.21,55.77,20.04,11.57
"2022-05-15 10:00:00",28.35,55.86,21.37,12.11
"2022-05-15 11:00:00",29.37,53.53,21.45,12.28
"2022-05-15 12:00:00",35.33,51.55,23.47,12.36
"2022-05-15 13:00:00",38.8,43.17,18.71,11.71
"2022-05-15 14:00:00",43.71,43.53,21.88,12.13
"2022-05-15 15:00:00",27.61,57.92,19.01,11.35
"2022-05-15 16:00:00",13.19,72.3,17.04,10.25
"2022-05-15 17:00:00",24.78,67.17,16.95,9.35
"2022-05-15 18:00:00",24.92,72.63,17.09,11.23
"2022-05-15 19:00:00",72.46,28.75,24.12,14.48
"2022-05-15 20:00:00",82.66,15.96,21.81,14.21
"2022-05-15 21:00:00",74.02,20.44,21.11,13.38
"2022-05-15 22:00:00",49.93,42.82,20.33,12.36
"2022-05-15 23:00:00",38.56,49.12,23.51,12.1
"2022-05-16 00:00:00",47.94,35.45,23.16,9.92
"2022-05-16 01:00:00",19.8,53.91,14.26,9
"2022-05-16 02:00:00",11.31,55.65,5.56,4.17
"2022-05-16 03:00:00",8.41,56.86,5.57,3.94
"2022-05-16 04:00:00",6.55,57.04,8.34,5.58
"2022-05-16 05:00:00",11.59,53.57,8.13,6.36
"2022-05-16 06:00:00",23.51,40.82,7.55,5.97
"2022-05-16 07:00:00",39.24,25.07,10.14,6.81
"2022-05-16 08:00:00",59.36,6.88,8.62,5
"2022-05-16 09:00:00",68.97,0.32,11.49,6.5
"2022-05-16 10:00:00",59.04,6.98,11.6,6.55
"2022-05-16 11:00:00",64.31,7,13.7,6.43
"2022-05-16 12:00:00",55.37,22.77,18.96,6.09
"2022-05-16 13:00:00",41.83,29.97,22.55,9.04
"2022-05-16 14:00:00",37.53,27.76,22.18,10.59
"2022-05-16 15:00:00",44.32,32.2,17.77,7.75
"2022-05-16 16:00:00",44.65,34.18,19.37,8.63
"2022-05-16 17:00:00",41.66,36.27,22.1,9.46
"2022-05-16 18:00:00",35.73,52.02,13.4,5.55
"2022-05-16 19:00:00",21.21,60.49,15,7.24
"2022-05-16 20:00:00",26.03,54.51,15.41,6.96
"2022-05-16 21:00:00",26.32,57.84,14.07,6.89
"2022-05-16 22:00:00",42.29,37.18,17.76,8.53
"2022-05-16 23:00:00",37.8,43.35,20.6,9.46
"2022-05-17 00:00:00",30.06,44.18,22.57,11.37
"2022-05-17 01:00:00",25.09,43.95,23.24,13
"2022-05-17 02:00:00",5.38,74.6,19.41,11.52
"2022-05-17 03:00:00",3.94,81.26,19.3,11.33
"2022-05-17 04:00:00",3.69,82.05,18.8,10.92
"2022-05-17 05:00:00",5.71,73.68,18.84,11.54
"2022-05-17 06:00:00",14.38,60.3,16.99,9.85
"2022-05-17 07:00:00",21.02,51.1,11.2,6.5
"2022-05-17 08:00:00",56.01,16.05,8.44,3.14
"2022-05-17 09:00:00",70.83,6.28,16.86,5.55
"2022-05-17 10:00:00",72.12,8.25,20.4,7.38
"2022-05-17 11:00:00",85.71,15.05,20.88,9.64
"2022-05-17 12:00:00",69.03,13.16,24.73,11.16
"2022-05-17 13:00:00",57.78,20.38,23.43,10.56
"2022-05-17 14:00:00",58.93,21.82,10.35,5.31
"2022-05-17 15:00:00",57.8,23.84,4.97,2.41
"2022-05-17 16:00:00",94.22,5.27,13.23,7.15
"2022-05-17 17:00:00",89.53,1.01,14.93,8.66
"2022-05-17 18:00:00",86.33,1.87,10.19,6.69
"2022-05-17 19:00:00",90.38,0.08,10.43,7.11
"2022-05-17 20:00:00",51.31,40.12,6.55,4.91
"2022-05-17 21:00:00",23.52,67.37,3.72,2.69
"2022-05-17 22:00:00",47.07,40.73,5.27,2.98
"2022-05-17 23:00:00",39.83,37.84,6.93,3.01
"2022-05-18 00:00:00",29.86,51.09,7.57,3.86
"2022-05-18 01:00:00",20.24,67.56,5.08,2.85
"2022-05-18 02:00:00",3.88,84.4,10.68,5.1
"2022-05-18 03:00:00",5.06,83.34,12.08,5.83
"2022-05-18 04:00:00",3.05,84.75,11.18,5.62
"2022-05-18 05:00:00",3.52,85.51,12.56,6.31
"2022-05-18 06:00:00",12.05,77.46,14.15,6.85
"2022-05-18 07:00:00",58.69,38.95,14.58,7.2
"2022-05-18 08:00:00",46.46,50.24,17.74,6.96
"2022-05-18 09:00:00",30.12,64.56,17.83,7.09
"2022-05-18 10:00:00",27.46,64.62,19.53,7.5
"2022-05-18 11:00:00",38.23,53.06,17.55,7.08
"2022-05-18 12:00:00",44.79,51.61,20.21,6.96
"2022-05-18 13:00:00",46.91,48.48,23.11,9.69
"2022-05-18 14:00:00",47.12,47.41,21.9,9.69
"2022-05-18 15:00:00",44.56,45.34,22.29,9.27
"2022-05-18 16:00:00",46.83,49.2,22.38,10.2
"2022-05-18 17:00:00",55.57,42.17,20.96,10.06
"2022-05-18 18:00:00",45.12,45.56,25.01,10.27
"2022-05-18 19:00:00",41.52,45.14,23.08,9.61
"2022-05-18 20:00:00",27.31,57.83,18.11,8.35
"2022-05-18 21:00:00",18.77,80.44,5.52,3.47
"2022-05-18 22:00:00",25.77,77.17,8.35,5.02
"2022-05-18 23:00:00",21.41,77.94,10.54,5.7
"2022-05-19 00:00:00",11.94,84.85,10.17,4.59
"2022-05-19 01:00:00",8.95,79.61,7.8,3.44
"2022-05-19 02:00:00",9.79,70.47,6.63,3.09
"2022-05-19 03:00:00",9.03,66.84,7.6,3.33
"2022-05-19 04:00:00",8.73,63.31,9.38,3.89
"2022-05-19 05:00:00",8.98,63,9.82,4.14
"2022-05-19 06:00:00",38.71,35.2,12.47,4.79
"2022-05-19 07:00:00",67.32,16.29,20.55,7.3
"2022-05-19 08:00:00",25.59,49.31,17.77,6.3
"2022-05-19 09:00:00",29.79,50.18,19.26,6.64
"2022-05-19 10:00:00",35.32,47.02,17.21,5.84
"2022-05-19 11:00:00",26.22,55.52,15.44,5.44
"2022-05-19 12:00:00",41.85,45.42,18.91,6.21
"2022-05-19 13:00:00",24.26,59.26,20.96,6.24
"2022-05-19 14:00:00",28.94,63.65,13.43,5.27
"2022-05-19 15:00:00",28.24,68.23,18.86,5.45
"2022-05-19 16:00:00",29.24,67.23,11.42,4.29
"2022-05-19 17:00:00",44.06,62.33,12.22,4.58
"2022-05-19 18:00:00",51.94,62.14,14.09,4.55
"2022-05-19 19:00:00",29.67,74.24,12.66,4
